J100	37.97	-34.29	90.00	NUNCHUCK	NUNCHUCK
LED171	3.98	179.07	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED172	-1.44	179.07	180.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
LED173	1.44	190.50	0.00	HL-AM-2835D1W-S1-08-HR3	PLCC-2
Q100	-58.42	29.21	270.00		SOIC08
Q101	50.80	34.29	90.00		SOIC08
Q102	1.27	40.64	270.00		SOIC08
R100	-50.80	26.67	0.00	100	RESC2012X65
R101	66.04	35.56	90.00	22	RESC6332X71
R102	59.69	35.56	90.00	22	RESC6332X71
R103	43.18	35.56	180.00	100	RESC2012X65
R104	8.89	38.10	0.00	100	RESC2012X65
R105	-58.42	38.10	90.00	22	RESC6332X71
R106	-64.77	38.10	90.00	22	RESC6332X71
R107	-71.12	38.10	90.00	22	RESC6332X71
R108	72.39	44.45	270.00	22	RESC6332X71
R109	66.04	44.45	270.00	22	RESC6332X71
R110	-64.77	48.26	90.00	22	RESC6332X71
R111	-71.12	48.26	90.00	22	RESC6332X71
R112	5.08	49.53	270.00	22	RESC6332X71
R113	-2.54	49.53	270.00	22	RESC6332X71
R114	72.39	54.61	90.00	22	RESC6332X71
R115	66.04	54.61	90.00	22	RESC6332X71
R116	-64.77	58.42	270.00	22	RESC6332X71
R117	-71.12	58.42	270.00	22	RESC6332X71
R118	5.08	59.69	270.00	22	RESC6332X71
R119	-2.54	59.69	270.00	22	RESC6332X71
R120	72.39	64.77	270.00	22	RESC6332X71
R121	66.04	64.77	270.00	22	RESC6332X71
R122	5.08	69.85	270.00	22	RESC6332X71
R123	-2.54	69.85	270.00	22	RESC6332X71
R124	3.81	95.25	270.00	22	RESC6332X71
R125	-58.42	96.52	90.00	22	RESC6332X71
R126	-64.77	96.52	90.00	22	RESC6332X71
R127	67.31	107.95	90.00	22	RESC6332X71
R128	60.96	107.95	90.00	22	RESC6332X71
R129	-58.42	107.95	270.00	22	RESC6332X71
R130	-64.77	107.95	270.00	22	RESC6332X71
R131	60.96	119.38	270.00	22	RESC6332X71
R132	-59.69	119.38	270.00	22	RESC6332X71
R133	3.81	120.65	270.00	22	RESC6332X71
R134	3.81	135.89	90.00	22	RESC6332X71
R135	-2.54	135.89	90.00	22	RESC6332X71
R136	3.81	146.05	270.00	22	RESC6332X71
R137	-2.54	146.05	270.00	22	RESC6332X71
R138	3.81	156.21	270.00	22	RESC6332X71
R139	-2.54	156.21	270.00	22	RESC6332X71
T100	-20.32	-46.99	180.00		2.54X2
T101	-31.75	-39.37	270.00		2.54X3
T102	-36.83	-39.37	270.00		2.54X3
T103	-31.75	-29.21	270.00		2.54X3
T104	-36.83	-29.21	270.00		2.54X3
T105	-31.75	-19.05	270.00		2.54X3
T106	-36.83	-19.05	270.00		2.54X3
T107	-31.75	-8.89	270.00		2.54X3
T108	-36.83	-8.89	270.00		2.54X3
